img nofilter-cs60 nofilter-cs40 nofilter-cs20 nofilter-h60 nofilter-h40 nofilter-h20 nofilter-l60 nofilter-l40 nofilter-l20 nofilter-shsv60 nofilter-shsv40 nofilter-shsv20 nofilter-shsl60 nofilter-shsl40 nofilter-shsl20 nofilter-v60 nofilter-v40 nofilter-v20 sobel-cs60 sobel-cs40 sobel-cs20 sobel-h60 sobel-h40 sobel-h20 sobel-l60 sobel-l40 sobel-l20 sobel-shsv60 sobel-shsv40 sobel-shsv20 sobel-shsl60 sobel-shsl40 sobel-shsl20 sobel-v60 sobel-v40 sobel-v20 canny-cs60 canny-cs40 canny-cs20 canny-h60 canny-h40 canny-h20 canny-l60 canny-l40 canny-l20 canny-shsv60 canny-shsv40 canny-shsv20 canny-shsl60 canny-shsl40 canny-shsl20 canny-v60 canny-v40 canny-v20
rembrandt_eu_464 28.279 39.303 64.680 5.665 7.384 11.588 16.481 22.541 35.795 6.709 8.877 14.333 6.808 9.035 14.747 15.608 21.349 33.891 16.506 23.697 42.170 6.062 7.839 11.953 15.985 21.744 35.360 7.735 10.659 18.350 7.899 10.950 19.447 15.463 21.046 34.334 11.847 14.395 20.565 3.842 4.697 6.834 6.970 8.506 12.285 2.805 3.400 4.920 2.536 3.069 4.447 6.907 8.421 12.187
caravaggio_1962_139_1 19.389 26.328 43.157 7.087 9.137 14.044 10.853 14.818 25.915 6.956 9.116 14.478 7.594 9.986 16.156 10.461 14.115 24.239 17.041 24.851 46.114 7.650 9.878 14.925 11.881 17.111 32.038 8.031 11.110 19.443 9.155 12.986 24.538 11.066 15.740 28.813 8.119 9.926 14.368 4.325 5.301 7.707 4.167 5.067 7.348 2.530 3.056 4.432 2.294 2.760 4.008 3.950 4.810 7.007
