img cs-avg cs-std h-avg h-std l-avg l-std shsl-avg shsl-std shsv-avg shsv-std v-avg v-std
rembrandt_eu_464 14.478275 21.641520 127.409108 93.929578 47.917214 62.932212 73.322169 64.586488 90.518994 59.713664 55.167909 69.701243
caravaggio_1962_139_1 35.571762 31.038772 143.287846 86.281317 65.464013 50.994502 106.990086 73.452640 127.329084 63.542098 83.248764 62.059938
