img itct-sat-sl-r3 itct-sat-sl-r7 itct-sat-sl-sg itct-sat-sv-r3 itct-sat-sv-r7 itct-sat-sv-sg itct-lightdark-l-r3 itct-lightdark-l-r7 itct-lightdark-l-sg itct-lightdark-v-r3 itct-lightdark-v-r7 itct-lightdark-v-sg itct-hue-h-r3 itct-hue-h-r7 itct-hue-h-sg itct-hue-cs-r3 itct-hue-cs-r7 itct-hue-cs-sg itct-warmcold-h-r3 itct-warmcold-h-r7 itct-warmcold-h-sg itct-warmcold-cs-r3 itct-warmcold-cs-r7 itct-warmcold-cs-sg itct-comp-h-r3 itct-comp-h-r7 itct-comp-h-sg itct-comp-cs-r3 itct-comp-cs-r7 itct-comp-cs-sg
rembrandt_eu_464 27.799137 42.599762 56.808122 30.976012 42.641833 52.260524 30.414184 46.144538 55.370063 33.490891 50.993502 61.448811 52.191998 25.936394 73.597994 27.268138 112.152807 27.347434 9.308094 15.931107 16.499297 26.976587 22.510420 25.162872 173.093780 179.836322 298 26.549159 73.946064 2
caravaggio_1962_139_1 40.960069 50.891148 64.941618 44.740008 50.438950 56.762883 31.101133 37.684689 43.526734 35.465296 44.517716 56.148896 43.252465 17.605232 75.065212 27.467786 103.585954 27.482685 15.033415 4.349642 26.403011 27.039591 35.552513 26.653478 123.940412 179.988372 376 50.716628 124.527514 180
