img cs-avg cs-std h-avg h-std l-avg l-std shsl-avg shsl-std shsv-avg shsv-std v-avg v-std
nirp_berchem_plymm_061 49.260597 36.031176 35.014116 15.363179 81.742242 85.561212 207.034932 58.451748 181.733945 83.754782 106.291105 93.888544
nirp_berchem_rocdg_1230 39.511567 21.674550 59.765167 28.204201 153.998282 83.998870 156.327476 85.014073 83.413483 68.496254 173.714430 84.398738
nirp_berchem_som_hm_a112 60.269262 43.682543 22.056234 20.168964 68.386378 64.290020 183.428867 64.175868 188.639464 55.237066 98.477807 84.328073
nirp_berchem_som_hm_a291 43.470985 20.569095 22.841544 11.260193 77.531618 70.647804 162.545902 75.047907 165.729031 81.287884 99.231419 74.132452
nirp_berchem_som_hm_a56 68.219387 55.325466 25.290254 44.441086 77.084415 63.381820 162.991643 74.188397 163.242310 49.421675 111.161698 89.232351
nirp_berchem_som_hm_a7 23.761803 19.977648 33.636715 60.158730 41.429435 54.920739 119.298853 73.802846 139.244352 77.843261 53.315902 60.009353
nirp_berchem_souag_b43 38.449825 21.806365 41.618984 28.067947 126.067916 93.928962 162.483288 80.166426 128.674867 101.230888 145.257886 91.288364
nirp_berchem_twcms_b8413 70.871022 32.087120 23.057319 8.801213 61.883155 44.241875 184.886348 58.499778 201.578736 51.460581 97.271583 55.848935
nirp_berchem_twcms_b8415 66.317975 30.596421 27.570177 10.199600 66.725570 57.114699 198.238729 62.700244 201.751041 59.545684 99.791376 68.843650
nirp_berchem_twcms_b9989 43.426505 20.431169 36.555656 34.111730 63.885519 57.477109 158.236130 77.622837 174.042887 76.387333 85.583192 60.391500
nirp_berchem_va_pc_2006bh7540 29.229111 17.229757 74.253131 36.037825 109.091250 88.746963 123.923322 79.925586 99.606395 71.987508 123.708776 93.681270
nirp_berchem_va_pc_2006bh7542 22.313526 22.051244 69.992836 43.771541 52.943767 59.621141 94.417698 65.664630 113.503571 61.757868 64.116231 66.851020
nirp_berchem_va_pc_2006bh7619 57.020746 36.682557 36.526869 15.848183 96.123213 84.534125 203.508589 69.246155 173.617440 86.418640 124.529145 94.390241
nirp_berchem_va_pc_2006bh7747 26.678061 19.735068 57.612539 34.928004 54.797945 72.515102 177.276593 77.173350 179.833567 81.960732 68.066401 76.888901
nirp_berchem_va_pc_2006bh7829 25.324732 19.093054 61.813198 32.164011 58.944601 74.312209 162.758879 81.918055 165.664706 83.665126 71.551642 78.911775
nirp_berchem_va_pc_2006bh7869 25.894959 20.692187 51.927541 21.760845 79.533119 84.288932 121.997929 70.161325 121.672714 72.645980 92.485173 91.189872
nirp_berchem_va_pc_2007bn5322 94.058919 50.276730 24.228136 9.076378 81.738758 65.335374 231.954377 36.075854 212.783116 47.643107 128.640098 86.867705
nirp_berchem_va_pc_2007bn6050 43.807250 32.167905 47.270089 23.626680 71.941805 70.197011 161.567548 76.983512 165.103915 74.182060 93.794602 81.745374
nirp_berchem_va_pc_2007bp0859 105.269528 42.451680 21.100555 7.836084 113.953198 74.705226 245.295202 26.475169 191.021883 64.722417 166.417673 88.865885
nirp_berchem_va_pc_2007bp0898 126.033459 55.663322 22.303775 8.916642 102.662360 62.904794 242.985051 26.110215 213.379634 47.078481 165.511654 85.238911
nirp_berchem_va_pc_2007bp1122 67.872674 45.804771 29.117084 21.071668 74.423152 75.676480 233.616000 45.427840 210.468910 74.246120 108.188628 87.964241
nirp_berchem_va_pc_2007bp1342 105.693808 51.199371 30.675651 8.321423 75.429302 45.909873 213.813576 49.413009 223.432323 37.430155 128.165400 69.167282
nirp_botticelli_70_70 91.305389 51.607144 28.808343 21.221518 81.259283 62.099539 212.646799 51.143403 206.045460 51.495597 126.826678 83.174843
nirp_botticelli_brm_bifa_43_10 68.234310 48.052074 60.658143 71.902688 90.631025 66.013200 151.848574 70.072940 154.626578 70.242132 124.744944 78.182130
nirp_botticelli_k1659 39.396926 34.261288 45.592301 28.049318 82.012278 73.129947 125.797837 87.225564 141.865818 85.935602 101.683226 76.302502
nirp_botticelli_twcms_f6124 46.462001 38.642104 40.113951 32.087875 85.343671 56.824571 98.798277 68.215855 113.423216 60.648361 108.594913 69.771259
nirp_botticelli_twcms_g1941 75.187387 62.469925 26.096734 30.577582 121.286681 85.587822 159.078744 95.839069 154.419451 98.408078 158.822810 83.797155
nirp_botticelli_va_pc_2006aj4912 112.680644 59.597316 35.091552 45.720335 112.758507 50.611184 161.598819 74.622750 158.662031 49.994642 169.067586 76.946915
nirp_boudin_1_12 32.642602 20.608276 105.045672 41.281989 186.287235 58.999961 100.808579 60.688222 48.162613 41.909788 202.660720 59.925934
nirp_boudin_180 18.479623 12.410815 42.103697 19.801635 176.391419 81.001828 90.363366 69.316881 56.125010 78.205247 185.629994 79.427630
nirp_boudin_1977_653 23.679194 12.331341 100.191999 40.235629 190.585382 55.493729 79.459764 53.889112 37.001250 37.592091 202.486668 54.948801
nirp_boudin_1977_654 34.159102 23.888549 89.793589 33.424319 183.892421 61.640687 104.996206 64.609398 54.829194 58.131011 201.020914 58.830282
nirp_boudin_2378 88.233740 53.201004 46.818463 64.615758 121.629487 65.953226 175.395826 82.874890 158.035188 92.194860 165.693568 62.812823
nirp_boudin_2379 14.328721 10.617793 91.373354 50.771457 170.525103 60.851906 46.649594 54.094789 29.644583 41.995073 177.740768 60.505890
nirp_boudin_2916 30.535415 23.959579 87.930283 57.607992 98.486591 50.893082 64.124580 63.141648 79.613726 60.719631 113.788945 54.219102
nirp_boudin_352 39.683871 22.226125 33.853827 9.367736 176.812976 79.442829 160.575753 73.665923 77.254674 75.214215 196.677286 79.018628
nirp_boudin_3605 17.942816 14.738692 70.986124 47.101335 158.523722 61.951280 49.636209 56.191513 39.424320 50.775028 167.552508 60.364087
nirp_boudin_ag002293 20.841825 10.462793 149.363489 48.215556 179.563385 75.919705 99.700041 70.736520 47.359507 60.913366 190.019399 75.877031
