img nofilter-cs60 nofilter-cs40 nofilter-cs20 nofilter-h60 nofilter-h40 nofilter-h20 nofilter-l60 nofilter-l40 nofilter-l20 nofilter-shsv60 nofilter-shsv40 nofilter-shsv20 nofilter-shsl60 nofilter-shsl40 nofilter-shsl20 nofilter-v60 nofilter-v40 nofilter-v20 sobel-cs60 sobel-cs40 sobel-cs20 sobel-h60 sobel-h40 sobel-h20 sobel-l60 sobel-l40 sobel-l20 sobel-shsv60 sobel-shsv40 sobel-shsv20 sobel-shsl60 sobel-shsl40 sobel-shsl20 sobel-v60 sobel-v40 sobel-v20 canny-cs60 canny-cs40 canny-cs20 canny-h60 canny-h40 canny-h20 canny-l60 canny-l40 canny-l20 canny-shsv60 canny-shsv40 canny-shsv20 canny-shsl60 canny-shsl40 canny-shsl20 canny-v60 canny-v40 canny-v20
nirp_diaz_va_pc_2006bh7518 13.575 19.516 36.133 14.183 20.390 37.195 6.914 9.209 15.485 3.329 4.280 6.488 3.982 5.127 7.849 6.607 8.749 14.408 7.239 10.097 18.132 10.150 14.433 26.328 7.826 10.992 20.105 3.653 4.847 7.938 4.408 5.933 9.923 7.493 10.497 19.144 4.748 5.813 8.483 5.864 7.160 10.330 2.308 2.787 4.036 1.905 2.262 3.224 2.031 2.419 3.447 2.204 2.648 3.829
nirp_diaz_va_pc_2006bh7591 24.835 35.078 63.193 14.103 19.471 32.675 10.384 14.393 26.015 4.712 6.081 9.405 5.189 6.712 10.465 10.102 13.932 24.895 8.440 11.696 21.335 14.512 20.814 37.949 9.786 14.114 26.711 5.284 7.162 12.106 6.015 8.314 14.447 9.594 13.730 25.816 15.607 18.975 26.997 5.035 6.177 8.944 3.529 4.294 6.253 2.091 2.499 3.585 2.080 2.484 3.555 3.415 4.156 6.066
nirp_diaz_va_pc_2007bp0704 5.665 7.464 12.242 16.147 25.285 56.308 6.901 9.256 15.763 9.020 12.243 20.868 9.722 12.940 21.503 5.250 6.791 10.761 6.611 9.339 17.254 9.322 13.837 28.344 7.163 10.035 17.826 8.953 12.064 19.819 9.399 12.599 20.428 5.370 7.363 12.684 1.931 2.301 3.290 11.521 13.967 19.856 2.471 2.982 4.318 4.420 5.391 7.805 4.576 5.580 8.074 1.942 2.313 3.303
nirp_dughet_1951p104 26.103 37.822 71.760 20.012 29.243 54.409 13.455 19.515 36.674 7.202 9.641 15.994 7.405 9.934 16.586 12.690 18.162 33.445 10.566 14.843 27.945 21.025 31.615 61.410 11.575 17.073 33.766 8.602 12.101 22.012 9.024 12.828 23.960 11.277 16.484 32.471 14.077 17.132 24.631 10.232 12.492 17.862 5.667 6.928 10.056 2.815 3.388 4.882 2.703 3.248 4.669 5.003 6.121 8.919
nirp_dughet_596 19.258 27.493 50.549 11.473 15.363 25.202 13.814 18.876 32.418 6.101 7.794 11.930 6.595 8.478 13.118 13.398 18.035 30.318 9.653 13.643 25.285 13.307 18.593 32.786 10.885 15.374 28.566 6.746 9.045 15.218 7.568 10.296 17.815 10.951 15.278 27.729 9.002 11.009 15.886 3.912 4.780 7.006 5.038 6.144 8.908 2.266 2.715 3.901 2.442 2.915 4.170 4.454 5.440 7.918
nirp_dughet_a1_209 28.131 41.082 82.164 18.509 25.843 44.432 9.798 13.724 24.952 5.606 7.354 11.724 7.108 9.356 14.857 9.460 13.255 24.020 8.479 11.830 21.629 16.694 24.257 43.097 9.358 13.302 24.752 6.442 8.773 14.752 8.315 11.412 19.166 9.326 13.336 24.937 23.905 28.960 40.324 7.073 8.664 12.533 3.931 4.778 6.963 2.660 3.205 4.626 3.384 4.069 5.853 3.785 4.599 6.709
nirp_dughet_bikgm_1277 18.283 26.274 47.793 17.659 24.933 43.331 11.599 16.297 29.355 6.167 8.084 12.899 9.127 12.238 20.298 10.779 14.894 26.677 6.950 9.447 16.270 23.126 33.772 60.173 9.569 13.620 25.274 7.180 9.988 17.647 11.372 16.279 29.984 8.937 12.661 23.274 7.458 9.086 13.166 10.494 12.794 18.268 4.303 5.251 7.631 2.289 2.754 3.969 3.427 4.117 5.905 3.535 4.302 6.275
nirp_dughet_b-m-595 11.896 15.949 26.152 10.602 14.367 24.310 8.256 11.153 19.598 4.112 5.276 8.073 4.781 6.151 9.559 7.485 9.893 16.669 7.208 9.697 16.227 11.979 16.186 26.725 9.264 13.502 26.734 4.551 6.068 10.073 5.408 7.320 12.512 7.930 11.093 20.638 3.348 4.106 6.009 5.612 6.870 9.890 2.382 2.892 4.218 1.974 2.363 3.383 2.040 2.439 3.505 2.210 2.676 3.896
nirp_dughet_b-m-791 15.546 21.479 36.441 5.939 7.610 11.801 9.040 12.335 21.427 5.164 6.662 10.189 7.001 9.131 14.566 8.885 11.950 20.263 8.134 11.159 19.557 6.633 8.459 12.699 7.784 10.873 19.793 5.694 7.605 12.642 8.313 11.574 20.791 7.985 11.061 19.908 5.222 6.462 9.469 4.861 5.914 8.526 2.872 3.488 5.100 2.207 2.654 3.833 2.672 3.220 4.658 2.656 3.228 4.716
nirp_dughet_bolmg_1898_3 12.938 17.451 28.472 22.292 30.953 53.491 9.879 12.985 21.200 5.046 6.411 9.593 6.051 7.718 11.766 9.222 11.926 18.943 8.857 12.280 21.870 28.434 39.564 64.010 8.386 11.474 20.391 5.421 7.122 11.525 6.683 8.928 14.988 8.314 11.318 19.709 3.817 4.682 6.883 14.453 17.443 24.459 2.771 3.378 4.921 2.045 2.456 3.544 2.199 2.644 3.815 2.616 3.186 4.653
nirp_dughet_bolmg_1940_4_4 31.564 45.365 83.115 18.405 25.490 42.839 13.246 18.169 31.767 5.823 7.460 11.336 6.925 8.831 13.471 12.881 17.535 30.310 7.978 10.973 19.630 17.680 25.971 47.303 10.489 15.001 28.083 6.419 8.598 14.177 7.803 10.504 17.637 10.180 14.505 26.694 35.142 42.254 58.488 8.780 10.735 15.391 4.794 5.823 8.455 2.332 2.796 4.038 2.618 3.131 4.486 4.598 5.586 8.091
nirp_dughet_brm_bifa_69_8 13.291 18.505 32.034 19.317 28.114 52.268 8.778 12.017 20.775 4.960 6.467 10.206 6.019 7.898 12.615 8.115 10.938 18.483 8.706 12.131 22.313 12.713 18.342 34.210 7.546 10.535 19.273 5.553 7.584 12.858 6.933 9.601 16.901 7.453 10.369 19.004 4.227 5.190 7.630 8.270 10.082 14.602 2.935 3.566 5.196 2.222 2.657 3.806 2.381 2.853 4.080 2.483 3.010 4.389
nirp_dughet_cp_tr372 16.532 23.488 40.182 17.519 24.968 43.235 12.299 17.303 31.237 5.854 7.626 11.946 7.189 9.471 15.448 10.954 15.083 26.550 10.532 14.993 27.958 22.008 31.883 53.147 10.005 14.259 26.329 5.817 7.802 12.893 6.965 9.529 16.333 9.933 14.064 25.938 6.644 8.137 11.801 20.397 24.782 34.676 4.788 5.843 8.514 2.404 2.897 4.186 2.579 3.111 4.492 4.138 5.048 7.367
nirp_dughet_eu_728 14.968 20.419 33.652 6.392 8.465 13.834 9.250 12.527 21.455 5.049 6.540 10.157 5.019 6.490 10.034 8.798 11.791 19.517 11.154 15.532 28.286 6.800 8.995 14.278 9.044 12.788 23.176 5.631 7.559 12.633 5.631 7.619 12.844 9.065 12.678 22.647 5.315 6.482 9.405 3.470 4.243 6.238 3.337 4.052 5.892 2.172 2.610 3.771 2.044 2.450 3.531 3.168 3.847 5.612
nirp_dughet_fa000265 21.468 31.853 63.196 9.391 13.003 22.162 5.721 7.783 13.590 2.860 3.683 5.824 3.485 4.513 7.145 5.704 7.707 13.373 8.260 11.688 22.177 11.702 16.554 29.697 6.570 9.302 17.071 3.418 4.601 7.981 4.226 5.806 10.401 6.448 9.105 16.679 15.594 19.055 27.161 3.895 4.766 6.969 2.588 3.099 4.407 1.929 2.281 3.202 2.272 2.686 3.766 2.542 3.043 4.337
nirp_dughet_fa000266 15.541 22.022 38.469 7.621 10.391 17.595 5.183 7.031 12.175 2.686 3.444 5.419 3.187 4.104 6.506 5.044 6.792 11.590 8.690 12.215 22.362 8.973 12.342 20.964 5.769 8.307 15.142 3.270 4.367 7.534 3.920 5.345 9.507 5.678 8.151 14.853 5.319 6.521 9.537 3.420 4.175 6.114 2.018 2.406 3.425 1.849 2.192 3.087 1.946 2.316 3.275 1.974 2.351 3.354
nirp_dughet_harag_338 22.433 31.621 57.505 5.902 7.807 12.630 8.622 11.708 20.283 3.477 4.458 6.846 3.959 5.085 7.790 8.375 11.319 19.500 8.737 12.187 22.103 6.526 8.551 13.351 9.070 12.797 22.973 3.896 5.158 8.448 4.501 6.026 9.991 9.031 12.683 22.793 9.520 11.692 16.837 3.538 4.327 6.362 3.219 3.909 5.686 1.946 2.320 3.310 2.123 2.531 3.604 3.163 3.837 5.578
nirp_dughet_lcnug_1927_2251 15.349 21.445 36.895 14.900 21.227 37.294 9.501 12.898 21.788 6.059 7.943 12.728 7.629 10.111 16.277 8.734 11.784 19.684 15.424 23.085 43.830 14.327 20.857 38.356 9.313 13.015 23.232 6.912 9.503 16.198 8.877 12.414 22.116 9.549 13.473 24.301 6.235 7.659 11.153 6.221 7.622 11.127 3.226 3.924 5.744 2.636 3.161 4.560 3.172 3.813 5.454 2.924 3.562 5.236
nirp_dughet_lcnug_1927_2252 18.026 25.819 46.023 12.686 17.726 31.195 9.226 12.569 21.401 6.315 8.320 13.477 7.137 9.441 15.346 8.721 11.836 19.962 15.380 23.308 46.892 14.408 20.939 38.562 9.320 13.113 23.793 7.249 10.018 17.332 8.399 11.778 21.401 8.716 12.221 21.995 7.433 9.092 13.230 5.009 6.130 8.914 3.295 4.009 5.844 2.707 3.262 4.708 2.639 3.177 4.569 3.108 3.785 5.522
nirp_dughet_mnemg_00_1873_16 25.197 38.176 73.298 15.052 21.141 36.478 11.274 16.087 29.660 3.912 5.122 8.095 5.164 6.818 10.999 10.316 14.912 28.390 12.443 18.642 38.490 16.328 23.403 41.003 12.159 17.623 32.445 4.394 5.963 10.023 5.869 8.098 13.957 12.362 18.277 34.370 15.436 18.739 26.718 6.886 8.457 12.244 5.262 6.320 9.002 2.033 2.430 3.469 2.344 2.813 4.036 5.092 6.126 8.771
nirp_dughet_o-79 18.925 25.922 43.441 5.546 7.152 11.182 7.813 10.580 18.761 4.926 6.375 10.010 5.465 7.061 11.125 7.669 10.351 18.097 11.633 16.577 30.948 6.133 7.893 11.931 7.352 10.379 19.558 5.713 7.784 13.360 6.525 9.002 15.918 7.206 10.094 18.856 7.574 9.335 13.639 3.826 4.676 6.838 2.308 2.783 4.038 2.027 2.428 3.497 2.084 2.489 3.576 2.243 2.706 3.922
nirp_dughet_op_0026 16.904 24.274 44.078 22.123 32.304 61.866 12.950 18.379 32.681 7.707 10.008 15.595 10.191 13.341 21.643 10.888 15.132 26.878 9.317 13.183 24.861 26.786 41.760 87.209 12.067 17.456 32.370 8.305 11.183 18.441 11.569 15.816 27.655 9.947 14.272 26.741 7.645 9.336 13.611 12.531 15.311 21.832 5.344 6.516 9.424 3.294 3.965 5.703 3.876 4.662 6.699 4.026 4.906 7.154
nirp_dughet_scag_1_1959 10.484 13.966 22.620 8.332 11.190 18.757 10.330 14.226 25.557 4.513 5.833 9.019 5.697 7.409 11.728 8.973 12.040 20.164 9.325 12.911 22.908 9.566 12.792 20.310 9.147 12.984 24.108 5.059 6.916 11.838 6.546 9.026 15.668 8.607 11.999 21.586 3.183 3.868 5.645 5.981 7.293 10.519 3.545 4.303 6.261 2.094 2.495 3.553 2.483 2.958 4.205 3.045 3.683 5.351
nirp_dughet_scag_1490 10.762 14.401 24.068 7.565 10.054 16.358 9.404 12.881 22.761 4.789 6.209 9.693 5.491 7.135 11.341 8.453 11.310 18.843 9.073 12.556 22.515 8.494 11.376 18.243 8.138 11.387 20.952 5.529 7.556 12.995 6.531 9.030 16.067 7.567 10.369 18.252 3.257 3.982 5.838 4.183 5.111 7.444 3.062 3.740 5.474 1.962 2.342 3.356 2.058 2.463 3.526 2.641 3.211 4.711
nirp_dughet_som_hm_a225 17.549 24.964 44.499 18.056 26.251 49.779 11.807 16.784 32.297 5.288 6.865 10.606 5.882 7.685 12.163 10.892 15.193 28.302 11.890 17.015 32.528 21.349 32.294 62.786 12.801 19.260 39.377 5.916 8.020 13.577 6.801 9.450 16.886 12.599 18.791 37.211 7.569 9.233 13.423 15.306 18.605 26.334 4.773 5.864 8.577 2.394 2.866 4.103 2.174 2.608 3.741 4.202 5.160 7.569
nirp_dughet_stigm_8148 8.291 11.088 18.314 16.385 24.071 44.083 9.128 12.742 23.515 4.868 6.403 10.453 5.703 7.655 13.162 7.934 10.615 17.525 8.703 12.129 21.664 17.878 25.593 44.814 11.464 16.851 32.950 5.809 8.064 14.317 7.125 10.217 19.009 8.998 12.547 22.134 2.752 3.354 4.893 8.078 9.729 13.906 3.701 4.496 6.530 2.189 2.606 3.699 2.139 2.563 3.671 3.100 3.759 5.473
nirp_dughet_stopm_kx_23 10.103 13.971 24.144 23.400 37.606 89.295 10.776 15.317 27.976 8.658 11.791 20.102 11.069 15.526 28.835 8.628 11.810 20.305 8.695 12.280 22.950 16.448 26.359 59.400 9.454 13.649 25.711 9.290 12.945 22.484 12.639 18.438 34.558 8.924 12.649 23.239 3.186 3.881 5.665 38.647 46.243 63.375 4.216 5.149 7.489 3.840 4.658 6.721 4.742 5.780 8.341 2.983 3.629 5.285
nirp_dughet_stopm_kx_24 10.005 13.631 23.265 26.806 42.636 94.839 9.214 12.941 23.496 5.515 7.365 12.116 6.857 9.351 16.204 7.901 10.728 18.197 9.948 14.225 26.410 36.483 61.389 121.143 7.811 11.069 20.144 6.542 9.133 16.320 8.541 12.431 23.498 8.784 12.433 22.746 3.555 4.334 6.345 28.405 33.833 46.754 3.923 4.784 6.941 2.563 3.073 4.396 2.895 3.486 4.985 2.968 3.606 5.258
nirp_dughet_stopm_kx_25 10.297 14.352 26.328 23.779 38.209 90.398 14.301 21.199 42.664 20.223 26.944 44.595 20.554 28.406 51.523 10.943 15.165 27.200 10.096 14.870 30.481 5.558 7.638 13.244 11.218 16.814 34.542 20.952 28.898 49.194 25.359 37.565 74.487 10.986 15.912 31.613 3.268 4.001 5.882 80.949 92.913 116.556 8.010 9.752 14.104 7.184 8.670 12.412 6.725 8.124 11.673 3.607 4.412 6.483
nirp_dughet_stopm_kx_26 10.408 14.476 26.128 27.297 45.061 106.967 14.588 21.364 40.023 17.196 23.177 39.454 15.690 21.623 38.790 11.999 16.549 28.917 9.650 14.026 27.357 32.874 59.613 139.615 10.632 15.490 29.700 17.473 24.293 40.975 18.917 27.860 53.208 11.146 15.845 29.244 3.560 4.347 6.341 113.965 124.891 145.656 7.903 9.608 13.830 6.788 8.226 11.759 5.126 6.202 8.920 4.726 5.795 8.442
nirp_dughet_va_pc_2006bb5069 13.423 18.800 32.261 17.915 26.769 51.640 6.213 8.408 14.070 3.111 4.028 6.363 3.638 4.756 7.611 5.881 7.907 13.047 7.589 10.448 18.561 11.182 15.950 29.599 6.210 8.603 14.992 3.692 4.963 8.441 4.334 5.940 10.263 6.195 8.535 14.932 4.535 5.583 8.161 9.537 11.554 16.432 2.484 2.996 4.318 1.945 2.306 3.273 1.995 2.367 3.364 2.308 2.783 4.028
nirp_dughet_va_pc_2006bh7840 22.455 32.868 62.543 14.310 20.207 35.050 10.876 15.227 28.064 5.016 6.487 10.092 6.078 7.924 12.572 10.356 14.438 26.281 9.837 13.778 26.105 12.341 17.575 32.822 9.934 14.401 28.022 5.633 7.580 12.693 7.007 9.658 16.659 9.546 13.775 26.577 13.324 16.218 23.231 5.429 6.645 9.578 3.933 4.793 6.993 2.242 2.688 3.870 2.625 3.147 4.505 3.646 4.440 6.494
nirp_dughet_watmc_2004_162 17.865 27.030 54.503 22.521 34.444 70.112 13.333 19.914 38.749 5.498 7.291 11.838 7.366 9.936 16.692 11.056 16.056 31.145 8.404 11.971 23.072 13.181 19.909 39.918 13.325 20.098 40.588 6.135 8.398 14.180 8.402 11.774 20.586 10.846 16.157 32.728 10.014 12.273 17.666 14.158 17.151 24.484 5.925 7.227 10.452 2.620 3.155 4.533 3.147 3.792 5.443 4.236 5.161 7.534
nirp_dujardin_1_111a 10.998 15.254 26.856 23.327 36.557 79.698 8.029 11.030 19.231 4.366 5.691 9.000 5.718 7.536 12.353 7.182 9.683 16.442 9.560 13.553 25.551 22.136 34.298 74.174 8.698 12.334 22.595 4.895 6.663 11.353 6.551 9.064 15.876 8.139 11.463 20.926 3.571 4.358 6.392 14.998 18.057 25.638 2.997 3.644 5.295 2.081 2.483 3.545 2.276 2.728 3.914 2.520 3.055 4.456
nirp_dujardin_34_13 22.416 31.196 53.818 36.845 53.590 91.089 14.971 19.804 31.713 8.175 10.444 15.802 9.915 12.846 19.815 14.222 18.558 29.290 9.826 13.867 25.787 49.948 75.661 118.617 12.062 16.655 28.876 8.783 11.712 19.167 11.473 15.577 26.776 11.493 15.694 27.079 10.766 13.190 19.062 21.143 25.551 35.569 5.014 6.141 8.938 2.828 3.439 5.014 3.215 3.915 5.703 4.327 5.299 7.768
nirp_dujardin_brm_bifa_67_2 16.816 24.158 43.322 15.961 22.443 38.904 10.860 15.294 28.136 6.059 7.949 12.771 8.835 11.862 19.320 10.240 14.329 25.784 11.971 17.562 34.571 13.143 18.711 34.176 10.956 16.034 31.115 7.005 9.618 16.402 10.479 14.595 24.940 10.551 15.354 29.585 6.462 7.913 11.554 5.897 7.215 10.490 4.268 5.192 7.543 2.579 3.115 4.506 4.415 5.333 7.684 3.744 4.551 6.641
nirp_dujardin_eu_719 14.027 19.858 35.221 24.363 37.204 71.119 13.866 20.635 40.679 5.889 7.753 12.603 8.175 11.144 19.486 12.499 17.545 31.711 11.336 16.349 31.651 30.599 45.837 83.394 12.350 18.449 36.925 6.885 9.498 16.655 10.262 14.817 27.591 12.139 17.375 32.739 5.217 6.400 9.310 13.125 15.934 22.678 6.362 7.822 11.324 2.368 2.832 4.060 3.436 4.148 5.977 4.715 5.777 8.371
nirp_dujardin_eu_720 10.812 14.543 24.126 13.024 18.248 31.701 9.084 12.648 22.791 4.548 5.937 9.461 5.218 6.870 11.240 8.113 10.994 18.531 9.368 13.042 23.449 14.426 19.861 32.229 9.109 13.167 25.220 5.314 7.343 12.862 6.300 8.854 16.035 8.008 11.186 20.075 3.304 4.034 5.886 8.369 10.229 14.705 3.087 3.766 5.496 1.954 2.330 3.330 1.985 2.376 3.404 2.652 3.229 4.711
nirp_dujardin_fa000869 5.846 8.011 13.981 12.569 18.534 34.737 4.987 6.790 11.903 3.759 5.154 8.934 4.592 6.281 10.975 4.434 5.976 9.975 5.463 7.630 13.391 15.798 23.037 39.527 5.695 8.160 15.005 4.920 6.979 12.514 5.858 8.424 15.372 5.056 7.146 12.570 1.983 2.375 3.429 12.745 15.507 22.098 1.950 2.326 3.312 1.922 2.281 3.216 1.965 2.336 3.320 1.928 2.285 3.251
nirp_dujardin_gla_hag_43738 17.195 24.286 41.895 26.318 40.266 83.129 14.124 20.275 36.164 6.162 8.077 12.973 7.358 9.796 16.154 12.403 17.582 30.874 16.180 24.494 47.478 25.008 38.600 82.107 17.795 27.002 51.981 6.981 9.637 16.919 8.715 12.368 22.871 16.039 24.079 44.476 9.664 11.749 16.862 16.552 20.043 28.175 7.373 9.043 13.095 2.467 2.969 4.288 2.579 3.120 4.509 6.085 7.499 10.914
nirp_dujardin_l_f201_1975_0_0 38.807 54.632 91.297 15.582 21.129 34.230 14.229 19.362 32.666 6.074 7.763 11.840 7.574 9.719 14.870 13.991 19.037 32.318 12.608 17.596 30.653 17.456 23.497 36.670 14.889 21.000 36.634 6.751 8.814 14.024 8.519 11.281 18.074 14.928 21.096 36.995 30.734 36.711 50.414 8.778 10.665 15.244 5.679 6.911 9.935 3.044 3.676 5.296 3.566 4.319 6.245 5.725 6.956 10.006
nirp_dujardin_som_hm_a116 14.458 20.185 35.068 17.479 25.108 45.836 11.801 16.162 28.225 5.770 7.473 11.634 7.228 9.478 15.275 10.567 14.216 24.238 11.029 15.777 30.107 20.694 31.751 63.054 13.903 20.635 39.458 6.238 8.436 14.180 8.095 11.213 20.170 11.886 17.087 32.474 5.015 6.154 8.955 8.145 9.939 14.356 5.128 6.264 9.077 2.292 2.754 3.969 2.544 3.066 4.423 3.773 4.600 6.725
nirp_dujardin_som_hm_a129 16.635 23.718 41.646 22.106 32.776 62.560 12.976 18.181 32.644 5.747 7.416 11.499 7.083 9.314 14.954 12.404 16.960 29.219 10.376 14.558 26.902 27.199 40.753 74.039 12.825 18.651 34.521 6.340 8.557 14.388 8.276 11.525 20.635 11.520 16.176 29.419 5.999 7.356 10.694 18.517 22.475 31.573 5.353 6.539 9.446 2.440 2.924 4.190 2.839 3.397 4.847 4.498 5.496 7.993
nirp_dujardin_som_hm_a209 14.433 20.232 35.875 11.922 16.435 28.054 11.935 16.865 31.166 6.617 8.712 13.903 9.084 12.309 20.566 10.529 14.640 26.337 9.969 14.202 26.797 13.035 17.887 29.983 11.783 17.330 33.720 7.381 10.094 17.263 10.559 14.926 27.284 11.196 16.367 32.047 5.742 6.995 10.091 6.969 8.474 12.226 5.621 6.852 9.901 2.843 3.423 4.923 3.751 4.533 6.530 4.288 5.234 7.602
nirp_dujardin_souag_b34 17.992 26.548 50.821 27.899 42.310 90.314 11.892 17.048 31.362 5.633 7.333 11.611 7.428 9.815 16.125 10.302 14.510 26.669 8.121 11.297 20.518 13.558 19.979 39.069 11.875 17.275 33.034 6.173 8.353 14.029 8.356 11.575 20.205 10.354 15.037 29.050 8.826 10.785 15.518 17.061 20.607 28.963 5.237 6.392 9.252 2.418 2.901 4.183 2.887 3.474 5.007 4.239 5.163 7.505
nirp_dujardin_va_pc_2006bh7511 19.650 27.858 47.702 12.315 17.199 30.123 9.314 12.927 22.411 3.676 4.735 7.354 4.701 6.077 9.497 8.937 12.394 21.473 9.895 14.030 26.204 14.817 21.933 41.461 9.304 13.156 23.455 4.205 5.637 9.300 5.432 7.346 12.348 8.998 12.657 22.519 7.767 9.497 13.862 4.355 5.336 7.782 3.704 4.498 6.541 1.970 2.345 3.349 2.277 2.720 3.893 3.467 4.207 6.119
nirp_dujardin_wm_1573_1948 20.570 28.661 50.372 13.587 18.275 29.645 12.234 16.947 30.478 5.636 7.299 11.260 9.031 11.765 18.511 11.364 15.466 27.074 11.560 16.190 29.387 15.332 20.740 31.541 12.416 17.962 33.624 6.216 8.394 14.034 10.518 14.561 24.823 11.044 15.586 28.644 8.387 10.226 14.789 10.357 12.676 18.017 4.586 5.565 8.037 2.488 2.989 4.297 3.925 4.693 6.684 4.023 4.876 7.059
nirp_gauguin_2465 9.583 12.662 20.362 6.291 8.173 12.972 7.479 9.614 15.153 4.983 6.338 9.493 6.418 8.199 12.582 7.057 8.998 13.907 7.069 9.484 16.000 7.006 9.151 14.104 6.025 8.052 13.487 5.194 6.801 10.845 6.966 9.350 15.509 5.684 7.506 12.237 2.523 3.065 4.475 3.904 4.775 6.993 2.053 2.464 3.571 2.135 2.571 3.731 2.419 2.912 4.233 2.076 2.485 3.590
nirp_gauguin_brm_bifa_48_12 6.603 8.477 13.091 10.427 14.321 24.483 6.649 8.633 13.870 4.158 5.354 8.132 5.046 6.446 9.797 6.653 8.581 13.535 6.983 9.489 16.325 12.470 17.794 32.230 6.142 8.407 14.601 4.510 5.950 9.640 5.549 7.444 12.415 6.979 9.520 16.412 2.226 2.667 3.857 3.876 4.711 6.862 2.123 2.544 3.667 2.009 2.401 3.450 2.193 2.621 3.762 2.338 2.812 4.059
nirp_gauguin_brm_bifa_49_9 6.901 9.062 14.279 13.183 18.313 31.254 7.181 9.691 16.403 5.050 6.642 10.544 5.503 7.308 11.810 6.269 8.177 13.014 7.200 9.734 16.320 15.982 22.663 39.018 6.248 8.609 14.849 5.663 7.613 12.614 6.341 8.708 15.053 6.486 8.706 14.474 2.460 2.996 4.377 5.538 6.785 9.825 2.444 2.955 4.281 2.586 3.109 4.462 2.421 2.906 4.170 2.330 2.813 4.086
nirp_gauguin_twcms_c643 9.344 12.492 20.872 7.080 9.440 15.612 6.881 9.075 15.452 3.966 5.062 7.679 4.449 5.670 8.654 6.512 8.506 14.038 6.863 9.308 16.105 7.819 10.718 18.419 7.922 11.237 20.926 4.433 5.918 9.860 5.054 6.811 11.556 7.557 10.595 19.560 2.623 3.187 4.632 2.592 3.142 4.569 2.183 2.616 3.769 1.910 2.269 3.235 1.996 2.373 3.380 2.084 2.493 3.576
nirp_goya_1973-88-b-m 13.112 17.394 27.834 8.085 10.705 17.260 7.234 9.648 15.979 4.477 5.784 8.892 6.262 8.073 12.596 7.030 9.307 15.109 10.014 13.781 23.815 9.224 12.228 19.156 7.633 10.535 18.616 5.036 6.738 11.149 7.244 9.808 16.518 7.410 10.172 17.659 4.268 5.234 7.673 5.184 6.352 9.196 2.497 3.029 4.409 2.113 2.532 3.646 2.772 3.334 4.814 2.420 2.939 4.285
nirp_goya_b-m-14 16.915 23.524 40.421 22.872 31.395 51.496 8.622 12.010 21.780 6.491 8.687 14.763 11.417 15.615 25.768 8.480 11.781 21.411 11.927 16.653 30.296 28.262 39.092 60.137 8.287 11.673 21.260 8.030 11.268 20.047 13.111 18.435 31.971 8.364 11.868 21.824 6.415 7.843 11.360 18.282 21.907 30.435 3.463 4.218 6.162 2.603 3.146 4.550 5.191 6.315 9.153 3.428 4.174 6.069
nirp_goya_b-m-26 30.299 42.062 74.464 9.841 12.890 20.336 15.084 21.946 39.980 7.159 9.343 14.647 8.064 10.646 17.214 14.458 20.738 37.066 9.878 13.754 24.488 10.872 14.296 21.990 15.260 22.789 43.441 8.365 11.521 19.862 9.795 13.923 25.436 14.474 21.486 40.785 23.851 28.843 39.841 7.203 8.756 12.512 8.619 10.418 14.842 3.054 3.665 5.246 2.908 3.503 5.036 7.706 9.328 13.365
nirp_goya_b-m-29 49.059 70.075 112.954 10.167 13.652 22.042 17.183 24.811 44.548 8.893 11.843 18.848 9.332 12.521 20.391 17.083 24.454 43.718 14.371 20.908 37.912 11.136 14.666 23.096 11.176 15.969 29.790 10.308 14.051 23.394 11.015 15.274 26.699 11.227 15.963 29.599 42.403 50.503 68.043 6.487 7.902 11.289 8.161 9.905 14.202 4.100 4.969 7.148 3.935 4.762 6.845 8.096 9.806 14.047
nirp_goya_brm_bifa_40_5 14.862 20.297 32.851 19.110 27.470 50.127 11.885 16.207 26.974 5.871 7.611 11.969 6.614 8.679 13.899 11.968 16.190 26.266 9.827 13.609 23.160 23.981 35.545 65.296 11.219 15.784 27.904 6.584 8.880 14.952 7.799 10.883 19.511 11.667 16.132 27.387 5.235 6.447 9.389 10.520 12.843 18.270 4.363 5.345 7.777 2.481 2.998 4.333 2.367 2.862 4.152 4.728 5.809 8.448
nirp_goya_pc_24 20.969 29.363 51.030 7.974 10.634 17.367 12.530 16.976 29.277 6.169 7.965 12.391 7.650 9.939 15.615 12.012 16.191 27.324 13.212 19.120 35.712 9.054 11.976 18.608 9.396 13.008 23.209 7.117 9.703 16.474 9.086 12.522 21.871 9.066 12.482 21.860 8.587 10.530 15.222 5.198 6.352 9.230 4.531 5.567 8.123 2.529 3.041 4.393 3.034 3.647 5.241 4.206 5.152 7.529
nirp_goya_pc_27 16.710 22.979 38.638 7.040 9.272 14.930 12.076 16.277 27.563 6.423 8.280 12.688 7.555 9.820 15.393 11.303 15.100 25.033 9.271 12.790 22.567 8.108 10.635 16.478 8.963 12.371 21.622 7.293 9.778 16.192 8.795 12.075 20.839 8.635 11.787 20.278 6.082 7.440 10.841 4.420 5.380 7.844 4.149 5.072 7.426 3.137 3.775 5.429 3.117 3.769 5.449 3.966 4.837 7.065
