img r3-cs-avg r3-cs-std r3-h-avg r3-h-std r3-l-avg r3-l-std r3-shsl-avg r3-shsl-std r3-shsv-avg r3-shsv-std r3-v-avg r3-v-std
nirp_berchem_op31 73.298721 37.114246 24.850490 4.696536 50.011926 32.826557 211.186245 43.022063 225.245307 29.702215 86.590985 49.948049
nirp_berchem_plymm_061 46.721173 34.780674 32.411495 11.198685 36.209120 37.597013 197.489806 45.258816 215.990256 37.135961 59.532830 52.275148
nirp_berchem_rocdg_1230 45.122762 11.277482 65.303720 10.395777 175.184804 40.025293 104.474612 65.976584 60.936756 19.101939 197.776589 40.802321
nirp_berchem_som_hm_a112 46.881444 46.230716 18.715549 20.392136 44.019820 52.207376 188.393414 62.985172 201.774586 50.598006 67.402436 73.989183
nirp_berchem_som_hm_a291 41.361938 14.575615 22.536645 5.848025 42.447722 42.486603 177.054489 52.949086 197.301799 50.074084 63.123984 45.316392
nirp_berchem_som_hm_a56 50.032918 42.490501 16.034059 24.045426 50.235679 38.740844 140.809212 55.910527 169.419205 39.089276 75.281680 58.941686
nirp_berchem_som_hm_a7 25.243848 20.543198 32.125240 41.988245 94.851170 87.952257 100.500600 71.987752 88.564286 63.669882 107.496519 92.152137
nirp_berchem_souag_b43 34.482338 14.666560 40.865673 11.636686 219.830380 31.031870 159.734110 71.728950 40.100865 28.493224 237.089181 28.205971
nirp_berchem_twcms_b8413 74.804980 29.156627 25.198855 8.981648 69.952174 44.938998 176.922448 55.375962 195.001079 48.831805 107.320967 54.722322
nirp_berchem_twcms_b8415 74.694495 24.873963 28.312035 9.240308 66.817678 47.450634 196.259337 58.887882 205.826737 50.722829 104.074698 56.524769
nirp_berchem_twcms_b9989 53.771387 15.865660 24.912359 9.499709 46.187276 29.421452 174.739142 43.159983 201.222990 36.894163 73.082675 34.671197
nirp_berchem_va_pc_2006bh7540 31.026343 14.555932 67.066713 19.865338 101.676349 68.471104 87.757179 64.898764 89.708549 46.133550 117.218161 73.243047
nirp_berchem_va_pc_2006bh7542 17.054903 15.237762 63.619995 41.988795 38.788840 38.059793 73.273346 49.848711 103.450671 53.570747 47.365949 42.467540
