img itct-sat-sl-r3 itct-sat-sl-r7 itct-sat-sl-sg itct-sat-sv-r3 itct-sat-sv-r7 itct-sat-sv-sg itct-lightdark-l-r3 itct-lightdark-l-r7 itct-lightdark-l-sg itct-lightdark-v-r3 itct-lightdark-v-r7 itct-lightdark-v-sg itct-hue-h-r3 itct-hue-h-r7 itct-hue-h-sg itct-hue-cs-r3 itct-hue-cs-r7 itct-hue-cs-sg itct-warmcold-h-r3 itct-warmcold-h-r7 itct-warmcold-h-sg itct-warmcold-cs-r3 itct-warmcold-cs-r7 itct-warmcold-cs-sg itct-comp-h-r3 itct-comp-h-r7 itct-comp-h-sg itct-comp-cs-r3 itct-comp-cs-r7 itct-comp-cs-sg
nirp_berchem_1266 36.560991 49.822338 63.625648 29.331573 32.186674 36.351891 62.871687 68.626105 74.953781 62.569334 68.805504 75.815046 36.040250 17.744975 44.416521 19.787199 57.065620 27.325137 6.675227 3.812733 12.583307 10.260822 17.897339 26.604932 102.440231 150.701147 149 22.124495 59.364283 0
nirp_berchem_1923-16 38.904995 44.031806 51.592590 62.196293 67.968957 75.292285 78.751506 83.137605 86.056117 86.890759 92.243883 96.004221 10.202251 27.483309 12.007442 27.426152 17.514742 4.183072 32.774553 13.576615 41.780921 26.404710 47.256115 26.262480 27.133546 42.067379 12 117.154583 165.743024 344
nirp_berchem_1932p117 33.171242 45.903119 53.689352 41.133340 54.759183 59.054155 41.068590 54.318305 59.777079 47.521279 60.686888 65.995461 17.380029 17.218506 27.840753 27.457891 35.617019 27.470447 28.267502 3.103842 34.976658 20.922998 42.524490 25.707023 55.596309 164.414956 32 91.531658 134.989371 480
nirp_berchem_1974_433 21.176783 42.855169 52.638597 28.053597 51.365242 66.176357 51.547525 74.140213 93.724512 52.747362 72.023877 89.438173 42.338936 19.690221 58.145844 27.496095 67.149330 27.306324 22.956762 3.734344 32.849413 27.493415 45.441181 27.281402 126.932843 179.090183 3 84.336073 125.205688 539
nirp_berchem_1985_645 5.528619 10.032508 7.300667 34.436158 38.685495 41.225344 55.299766 60.261926 66.219327 75.449450 81.882875 91.136422 9.541245 27.440180 10.778758 27.473459 1.092118 0.002964 58.187470 19.879542 64.687907 26.468937 75.985991 25.541818 26.497999 42.269174 0 153.886987 179.689970 3283
nirp_berchem_210_1892 31.393182 52.607092 60.780300 30.591736 51.582307 58.076266 43.278838 52.208012 57.137062 54.608868 64.630388 70.678831 8.139365 20.460450 15.999097 27.197561 17.966286 27.424841 38.932969 16.308985 47.664693 24.688047 53.642008 26.187861 31.674916 83.681017 0 120.599285 171.316481 290
nirp_berchem_566 20.233841 28.660431 31.597659 31.704658 41.657130 46.443654 52.056008 61.403107 67.947757 54.967917 63.701534 70.924566 12.866545 6.737835 22.374021 13.934265 35.912229 27.350035 9.214645 1.662202 13.050486 11.005336 22.278486 26.112463 45.894423 116.833271 38 22.561772 61.365347 0
nirp_berchem_a1085 56.293059 67.623359 75.563186 49.547308 57.231305 62.539743 83.087413 89.983156 91.463648 85.047926 92.435741 93.962081 13.384849 4.445841 27.035614 24.227750 40.463217 27.299596 10.008478 19.642324 17.138932 26.834256 21.958939 25.511401 41.869350 150.638546 224 31.248827 75.679527 41
nirp_berchem_a1907 33.115496 56.959386 70.556697 64.438187 70.432241 73.608837 68.579548 75.178231 79.532317 75.572070 85.039146 90.874286 14.712719 16.126025 20.632705 27.432984 34.393903 27.437476 26.105348 17.040411 39.600452 21.604400 47.156131 26.170365 46.249443 93.851743 25 69.800931 128.926853 218
nirp_berchem_a1908 0.723728 2.015432 0.028239 1.559396 3.799111 4.868045 8.180469 13.087432 18.535208 16.003410 25.657203 34.007069 2.949639 4.800300 4.293431 21.555086 6.447468 22.956835 24.709221 2.744330 39.392272 12.920001 59.038353 18.606732 9.979108 19.745541 0 72.111277 164.303060 1120
