img glcm-cs-ct1 glcm-cs-ct6 glcm-cs-ct20 glcm-cs-en1 glcm-cs-en6 glcm-cs-en20 glcm-cs-hm1 glcm-cs-hm6 glcm-cs-hm20 glcm-cs-cr1 glcm-cs-cr6 glcm-cs-cr20 glcm-h-ct1 glcm-h-ct6 glcm-h-ct20 glcm-h-en1 glcm-h-en6 glcm-h-en20 glcm-h-hm1 glcm-h-hm6 glcm-h-hm20 glcm-h-cr1 glcm-h-cr6 glcm-h-cr20 glcm-l-ct1 glcm-l-ct6 glcm-l-ct20 glcm-l-en1 glcm-l-en6 glcm-l-en20 glcm-l-hm1 glcm-l-hm6 glcm-l-hm20 glcm-l-cr1 glcm-l-cr6 glcm-l-cr20 glcm-shsl-ct1 glcm-shsl-ct6 glcm-shsl-ct20 glcm-shsl-en1 glcm-shsl-en6 glcm-shsl-en20 glcm-shsl-hm1 glcm-shsl-hm6 glcm-shsl-hm20 glcm-shsl-cr1 glcm-shsl-cr6 glcm-shsl-cr20 glcm-shsv-ct1 glcm-shsv-ct6 glcm-shsv-ct20 glcm-shsv-en1 glcm-shsv-en6 glcm-shsv-en20 glcm-shsv-hm1 glcm-shsv-hm6 glcm-shsv-hm20 glcm-shsv-cr1 glcm-shsv-cr6 glcm-shsv-cr20 glcm-v-ct1 glcm-v-ct6 glcm-v-ct20 glcm-v-en1 glcm-v-en6 glcm-v-en20 glcm-v-hm1 glcm-v-hm6 glcm-v-hm20 glcm-v-cr1 glcm-v-cr6 glcm-v-cr20
nirp_bassano_hhtp_2001_2_43 16389422 208203033 652451411 33596.466 25857.732 16700.117 96800.447 44296.253 27170.371 1.053543 1.000000 1.000000 722086 7532969 14480768 46779.484 30517.168 25903.478 185178.608 91366.357 69420.224 1.000000 1.000000 1.000000 4889250 66967624 197480793 34751.021 26414.604 17215.091 132410.906 59517.797 36624.779 1.000011 1.001553 1.000000 1927137 12056997 20042878 54361.055 22765.900 22786.588 291632.132 286833.885 279193.749 1.000000 1.000025 1.000028 4330615 32445310 54411154 63421.749 65100.566 55864.988 280475.532 271181.387 260760.082 1.000000 1.000069 1.000018 13703113 206436002 667753147 46399.473 38813.433 28416.014 106616.979 56186.487 38474.346 1.003870 1.000000 1.000000
nirp_bassano_l_f34_1939_0_0 12818645 107881551 321075468 9737.848 5908.211 4452.715 94849.229 42428.524 22389.291 1.000000 1.000000 1.005192 11184161 29297993 38160856 28586.603 18510.100 15346.720 154843.437 86438.131 58142.579 1.000000 1.000000 1.000000 38898908 233260468 457204383 10707.108 6987.412 5759.353 78827.630 38205.344 25971.697 1.000000 1.000000 1.000000 400768047 1093048070 1312194042 51446.438 61400.177 42104.210 150216.073 114741.320 103842.605 1.000000 1.003903 1.012502 259570280 720493012 912806191 28377.480 50167.974 26945.091 145789.044 110214.601 99656.571 1.000000 1.000000 1.000000 46707047 332422471 768724907 9444.924 6437.291 4494.201 61533.958 29408.734 18955.034 1.000423 1.014678 1.000000
nirp_bassano_souag_b64 13242555 116437240 357085663 8632.246 5924.554 4247.392 99292.659 53668.263 28237.997 1.000000 1.001226 1.000000 1661360 6446670 13292641 28251.097 20417.398 16158.486 180609.104 119600.722 82426.217 1.000000 1.000000 1.000000 15588326 121787063 335729661 7736.266 4920.007 3817.996 87370.368 40181.863 25348.742 1.000008 1.001073 1.000000 102064141 319016987 541925708 58456.956 56994.260 16225.718 194484.358 169334.022 155237.805 1.000000 1.936962 1.000000 59619108 234596479 480314282 27488.906 33822.662 52751.739 187080.802 162290.177 149069.828 1.000000 1.000000 1.000000 22776133 193041904 579316248 9753.970 7271.578 4618.212 69691.036 33431.805 20578.955 1.000000 1.000000 1.009574
nirp_bassano_va_pc_2006bh7729 6536915 86726916 354341856 26773.614 19796.574 14400.076 139824.429 77850.205 45222.475 1.000067 1.000086 1.046677 11534937 44261254 91500129 30756.305 21413.594 14109.284 173111.815 103609.185 55700.424 1.000000 1.000049 1.000611 43771034 164676996 363442278 17366.925 10628.292 8470.190 118283.049 55348.798 36762.489 1.000000 1.000000 1.000000 235272356 758892305 1018223139 33478.393 45166.562 64135.430 149298.092 112627.248 96984.359 1.204403 1.000000 1.000000 165355592 528098812 690371716 65485.111 35006.615 58933.013 146506.540 109547.920 94264.504 1.000000 1.000000 1.000000 47393890 241336719 715537498 14033.245 8329.378 6314.556 102584.719 44464.441 28176.074 1.017699 1.000000 1.000000
nirp_bassano_va_pc_2007bm3158 19585247 160626428 473955954 10719.744 5683.045 3716.229 105042.048 42426.146 17606.035 1.000113 1.004566 1.000000 7844045 21657561 29312685 36852.928 22631.338 18183.075 170073.583 93207.852 60337.998 1.000000 1.000000 1.000000 37420760 252182506 530489554 6799.289 4310.130 3391.705 61984.542 27187.721 17488.394 1.000000 1.000000 1.093565 214133848 686408506 959789226 51534.953 14829.930 57602.235 101707.313 74564.499 62248.456 1.000000 1.000000 1.000000 127440730 446626055 591586586 37345.733 61353.672 53681.468 95203.201 69449.685 59318.765 1.001684 -0.992484 0.960247 43022479 380490856 987585612 9368.617 5376.604 2898.972 56189.351 23879.018 13097.153 1.000000 1.000000 1.000000
nirp_bassano_va_pc_2007bp0700 27606514 208920816 605637020 6023.058 3543.895 2357.568 66902.816 24173.477 11354.316 1.000000 1.000000 1.000000 12331439 28777599 42713153 27394.951 17781.831 14291.453 157134.596 87270.527 60064.202 1.000000 1.000000 1.000000 63566072 308426082 621860965 6755.633 4301.958 3089.974 57447.186 25798.422 14456.599 1.000000 1.000000 1.163356 339113457 879883396 1235865396 56946.007 32992.288 54752.083 152409.138 122633.795 109946.719 1.000000 1.000000 1.000000 220576836 637016290 968004723 22291.290 58082.151 31787.559 145294.630 115496.561 101705.524 1.000000 1.000000 -0.624461 77548710 489723003 1187614105 10806.386 6744.458 3670.730 47931.953 22548.394 11938.136 1.000000 1.000002 1.016420
nirp_bassano_wm_1544_1948 4024965 75850051 292757699 14043.428 8424.172 5772.692 133606.525 64663.154 30648.047 1.000090 1.005360 1.688330 526114190 1805921513 3047782370 22170.108 13681.373 9462.030 161442.624 88475.187 47926.758 1.000000 1.000000 1.000000 31785151 272273442 713484373 7178.460 4396.382 3171.262 80630.916 36117.954 19277.216 1.000000 1.000000 -1.539173 191450054 573717812 1024582183 30359.342 24354.745 17802.720 83822.680 45827.042 29723.295 1.000000 1.032440 -1.547511 68293024 271380811 698012250 26931.784 22294.872 16406.828 94612.520 50480.175 30504.685 1.000733 1.000000 1.000000 34708928 334123952 913511882 7599.770 5020.890 3644.898 75140.990 32284.771 17112.368 1.000000 1.000000 1.000000
nirp_berchem_1266 4800061 35150839 69810149 21359.238 13541.236 10728.038 144735.244 77017.512 49277.280 1.000000 1.000000 1.000000 243274861 561139119 756638352 13530.459 7758.456 5622.595 129323.941 60826.501 35002.065 1.000000 1.000000 1.004801 34232166 240432140 565358654 7810.967 4935.207 3740.235 92354.401 47296.318 30664.476 1.173768 1.000000 1.000000 348165644 780387107 1144307041 23855.974 18070.908 14143.870 92612.178 48935.875 33764.094 1.000000 1.026808 1.000000 240641208 508603684 689998686 14086.278 8616.094 6595.862 111157.474 58068.820 35845.410 1.000488 1.000000 1.000000 36741698 267720162 619100205 22663.557 17899.937 13847.160 95821.988 53148.451 36497.735 1.000000 1.000000 1.000000
nirp_berchem_1923-16 2843344 45770036 146075198 16833.015 11440.108 7763.529 150355.969 77161.980 41259.468 1.000000 1.001889 1.331664 422720572 1085137065 1294318251 40493.339 28269.870 22451.073 200087.066 128530.481 92062.350 1.000001 1.000003 1.001448 7253813 60484066 188938118 13087.651 8221.188 6493.706 128393.982 62701.431 42784.652 1.000339 2.574083 1.000000 265667419 904551065 1334132756 36498.440 56530.922 49835.394 122257.243 77160.926 62150.871 1.000000 1.000000 1.000000 191106950 665226422 1089566492 42228.502 26816.083 23379.793 134343.962 73072.530 50611.117 1.000096 1.000000 1.000000 9394766 103358081 332594296 35726.171 31927.433 28196.847 131663.204 75045.965 55653.746 1.003576 1.000000 -0.685621
nirp_berchem_1932p117 10096483 91860452 207993532 9634.819 5142.853 3737.574 113579.406 47003.331 21326.371 1.000000 1.000000 1.000000 11336342 56066968 119532524 30924.319 19233.041 15811.282 175348.028 98484.222 68818.080 1.000003 1.000094 1.001356 17023393 126590133 271645468 8211.778 4927.831 4096.697 92249.783 37658.411 25026.169 1.000000 1.000000 1.185536 198136188 762722000 1089269764 61495.238 31157.531 8078.496 116334.920 80874.140 70820.156 1.000403 1.000485 1.000000 122683400 494446544 761508106 35772.141 58700.649 53329.257 111260.885 71319.322 60802.377 1.000000 1.000000 1.000000 19068482 161746353 371503931 16204.881 14097.261 12418.811 86605.495 39728.625 28064.846 1.000000 1.000000 -1.634046
