img artist school country nofilter-cs60 nofilter-cs40 nofilter-cs20 nofilter-h60 nofilter-h40 nofilter-h20 nofilter-l60 nofilter-l40 nofilter-l20 nofilter-shsv60 nofilter-shsv40 nofilter-shsv20 nofilter-shsl60 nofilter-shsl40 nofilter-shsl20 nofilter-v60 nofilter-v40 nofilter-v20 sobel-cs60 sobel-cs40 sobel-cs20 sobel-h60 sobel-h40 sobel-h20 sobel-l60 sobel-l40 sobel-l20 sobel-shsv60 sobel-shsv40 sobel-shsv20 sobel-shsl60 sobel-shsl40 sobel-shsl20 sobel-v60 sobel-v40 sobel-v20 canny-cs60 canny-cs40 canny-cs20 canny-h60 canny-h40 canny-h20 canny-l60 canny-l40 canny-l20 canny-shsv60 canny-shsv40 canny-shsv20 canny-shsl60 canny-shsl40 canny-shsl20 canny-v60 canny-v40 canny-v20 glcm-cs-ct1 glcm-cs-ct6 glcm-cs-ct20 glcm-cs-en1 glcm-cs-en6 glcm-cs-en20 glcm-cs-hm1 glcm-cs-hm6 glcm-cs-hm20 glcm-cs-cr1 glcm-cs-cr6 glcm-cs-cr20 glcm-h-ct1 glcm-h-ct6 glcm-h-ct20 glcm-h-en1 glcm-h-en6 glcm-h-en20 glcm-h-hm1 glcm-h-hm6 glcm-h-hm20 glcm-h-cr1 glcm-h-cr6 glcm-h-cr20 glcm-l-ct1 glcm-l-ct6 glcm-l-ct20 glcm-l-en1 glcm-l-en6 glcm-l-en20 glcm-l-hm1 glcm-l-hm6 glcm-l-hm20 glcm-l-cr1 glcm-l-cr6 glcm-l-cr20 glcm-shsl-ct1 glcm-shsl-ct6 glcm-shsl-ct20 glcm-shsl-en1 glcm-shsl-en6 glcm-shsl-en20 glcm-shsl-hm1 glcm-shsl-hm6 glcm-shsl-hm20 glcm-shsl-cr1 glcm-shsl-cr6 glcm-shsl-cr20 glcm-shsv-ct1 glcm-shsv-ct6 glcm-shsv-ct20 glcm-shsv-en1 glcm-shsv-en6 glcm-shsv-en20 glcm-shsv-hm1 glcm-shsv-hm6 glcm-shsv-hm20 glcm-shsv-cr1 glcm-shsv-cr6 glcm-shsv-cr20 glcm-v-ct1 glcm-v-ct6 glcm-v-ct20 glcm-v-en1 glcm-v-en6 glcm-v-en20 glcm-v-hm1 glcm-v-hm6 glcm-v-hm20 glcm-v-cr1 glcm-v-cr6 glcm-v-cr20 it12-r it12-or it12-o it12-oy it12-y it12-gy it12-g it12-gb it12-b it12-pb it12-p it12-pr r3-cs-avg r3-cs-std r3-h-avg r3-h-std r3-l-avg r3-l-std r3-shsl-avg r3-shsl-std r3-shsv-avg r3-shsv-std r3-v-avg r3-v-std itct-sat-sl-r3 itct-sat-sl-r7 itct-sat-sl-sg itct-sat-sv-r3 itct-sat-sv-r7 itct-sat-sv-sg itct-lightdark-l-r3 itct-lightdark-l-r7 itct-lightdark-l-sg itct-lightdark-v-r3 itct-lightdark-v-r7 itct-lightdark-v-sg itct-hue-h-r3 itct-hue-h-r7 itct-hue-h-sg itct-hue-cs-r3 itct-hue-cs-r7 itct-hue-cs-sg itct-warmcold-h-r3 itct-warmcold-h-r7 itct-warmcold-h-sg itct-warmcold-cs-r3 itct-warmcold-cs-r7 itct-warmcold-cs-sg itct-comp-h-r3 itct-comp-h-r7 itct-comp-h-sg itct-comp-cs-r3 itct-comp-cs-r7 itct-comp-cs-sg cs-avg cs-std h-avg h-std l-avg l-std shsl-avg shsl-std shsv-avg shsv-std v-avg v-std
nirp_carlevariis_va_pc_2007bn4190 carlevariis neoclassicism italy 8.817 11.886 20.581 32.005 49.950 99.569 8.203 11.022 19.390 6.834 9.097 15.108 7.935 10.559 17.957 7.409 9.743 16.115 7.642 10.750 19.554 9.625 13.835 25.924 6.825 9.519 17.048 7.573 10.542 18.943 9.177 12.998 23.909 7.367 10.282 18.604 2.833 3.426 4.962 38.517 45.977 62.886 2.581 3.131 4.564 2.504 3.012 4.326 2.766 3.337 4.805 2.252 2.709 3.923 26423797 184172220 442792847 8081.798 4664.859 3536.424 76126.010 30274.288 15167.538 1.000127 1.000000 1.050744 1561195 7300725 11826704 52515.969 35741.940 28551.854 195294.063 124821.481 93415.506 1.000000 1.000000 1.000000 27707093 175778075 327134681 6777.547 4335.425 3478.675 60832.203 26245.047 17461.658 1.000000 1.006972 1.000000 126822088 324117175 408285208 45640.429 56103.753 18038.953 165391.178 131810.109 118623.476 1.000326 1.000000 1.017383 96104249 297765222 411396100 33132.493 25958.977 57045.584 140855.140 107138.884 95208.229 1.000000 1.000000 1.100313 39195916 282916675 630169801 35458.997 27135.795 20812.406 74230.661 43485.883 31373.769 1.000000 1.000000 1.030274 0 0 0 0 19706 110360 10210 0 0 0 0 0 176.890637 18.125030 26.767970 5.136603 146.772225 29.541092 238.790891 24.495010 195.272060 30.484126 235.104959 30.244086 6.636793 11.479358 12.625731 16.448552 21.254386 24.765706 21.668556 28.635388 35.227025 29.187121 38.986360 49.575439 4.570149 9.231429 6.638465 20.659543 5.155821 14.384409 25.910523 4.662530 36.562536 10.658048 50.880237 25.560568 16.589903 27.148687 0 91.451386 161.155624 415 156.577470 42.404912 19.236199 6.903325 98.088816 39.758538 238.505628 29.556785 232.122761 34.973285 176.253557 55.981562
nirp_carlevariis_va_pc_2007bn4191 carlevariis neoclassicism italy 9.568 13.080 22.830 25.923 40.121 83.100 7.428 10.030 17.610 4.779 6.157 9.380 4.535 5.856 9.167 8.780 11.587 19.112 9.870 14.359 28.011 33.137 53.210 107.067 9.154 13.425 26.494 5.218 6.984 11.774 5.278 7.384 13.238 9.755 13.831 25.503 3.232 3.905 5.633 36.105 43.051 59.092 2.438 2.919 4.183 2.697 3.205 4.521 1.904 2.258 3.210 2.926 3.486 4.938 32395040 213854777 717890707 12398.493 7941.247 5748.367 87993.201 46476.230 26033.041 1.002612 1.000000 1.000000 13516611 27235913 30185530 41051.020 27860.113 22540.535 177808.647 112546.576 81862.470 1.000000 1.000000 1.000000 41322057 205971140 459363311 6362.713 4725.738 4013.518 48181.181 25371.726 20284.816 1.000000 1.000000 1.119339 427208618 1121715774 1508377665 64019.057 63315.173 21163.651 138373.968 115831.436 97870.842 1.000000 1.028807 1.000000 284378135 749476326 827112698 20528.841 11563.948 10266.208 43767.254 22811.439 19387.999 1.000000 1.000000 -1.834140 43556097 326790612 1052746940 59905.009 37392.575 48745.610 130099.559 110198.894 89929.447 1.000000 1.005806 1.000000 10270 235847 0 0 0 0 0 0 0 0 0 0 29.467977 9.846273 12.784184 7.271087 26.938205 15.952142 174.356062 71.080078 197.968908 56.104194 41.641026 19.321894 29.371159 43.204340 20.352031 13.151870 17.724445 18.432409 37.328385 50.570973 58.284407 59.969721 81.986381 94.782350 3.975138 27.479030 5.928054 27.457039 3.406404 16.977171 65.102946 17.851041 90.241212 27.135925 107.439278 27.064490 13.700390 22.880207 0 175.078241 179.806404 2055 109.555049 78.596846 17.355759 8.474682 93.544848 61.403337 197.790109 69.158105 188.297269 42.601819 148.232066 98.517617
nirp_carlevariis_va_pc_2007bn4192 carlevariis neoclassicism italy 9.813 13.117 21.983 34.274 53.062 103.024 7.764 10.476 18.590 7.124 9.525 16.020 8.278 11.132 19.282 6.949 9.152 15.342 10.419 14.798 27.812 45.367 74.241 132.590 6.826 9.688 18.160 8.218 11.647 21.717 10.030 14.557 28.284 6.630 9.320 17.088 3.327 4.001 5.750 31.676 37.728 51.992 2.172 2.622 3.809 2.471 2.964 4.236 2.576 3.096 4.465 2.009 2.405 3.458 31449592 201213980 491088843 20044.105 15954.094 10735.687 101888.839 68438.032 41134.429 1.000084 1.000000 1.000000 3464557 10749252 15366023 68478.107 53808.080 40872.113 211137.063 155956.680 119010.112 1.000000 1.000000 1.000000 29491035 155573137 273983384 5359.357 3630.552 3068.649 50423.711 23138.234 16421.080 1.000000 1.022153 1.000000 93787314 243828349 314659731 44319.742 51368.240 24321.713 138893.160 114860.543 102720.575 1.000016 1.000000 1.000000 61360912 192143442 244317231 43897.243 57300.524 44871.666 128211.389 100088.134 89916.952 1.000401 1.000000 1.000000 44514073 289779619 642375521 19500.636 14194.705 10287.941 55436.946 30802.451 22116.836 1.000000 1.000000 1.000000 34226 206470 0 0 0 0 0 0 0 0 0 0 138.370491 45.095422 8.805616 8.320082 74.037007 30.498626 251.036015 13.621009 249.883478 15.388953 143.007155 51.748206 13.315672 16.693146 21.622762 12.648277 15.622422 16.943832 17.952299 25.175231 30.848661 25.332235 37.211090 43.924401 5.178110 11.533451 7.222538 27.488976 3.536139 27.443119 21.357752 6.452205 34.476005 11.401010 49.208086 26.908128 19.197872 29.578071 0 67.116973 125.988304 296 164.515929 42.786813 16.056003 7.948112 101.423148 35.167699 229.466661 31.521146 232.499873 28.621533 183.592777 53.309840
nirp_carlevariis_va_pc_2007bn5321 carlevariis neoclassicism italy 16.085 22.939 41.312 27.183 39.372 72.905 8.650 11.767 20.761 4.497 5.747 8.858 5.325 6.914 10.993 8.170 10.925 18.681 7.447 10.307 18.296 14.363 20.790 37.636 8.258 11.998 22.959 4.918 6.678 11.492 6.116 8.476 15.144 7.825 11.186 21.062 7.752 9.471 13.753 12.206 14.681 20.585 2.619 3.186 4.637 2.023 2.411 3.443 2.067 2.473 3.546 2.328 2.819 4.105 7223792 83309267 370151365 9792.658 5740.734 3941.447 112950.433 50755.441 25012.838 1.000001 1.000000 1.003046 7196720 19623621 38189444 43831.867 31360.426 22940.621 192313.545 122048.136 81776.468 1.000000 1.000000 1.000000 35186532 194378555 440452401 5879.832 4119.521 3268.134 54455.289 27992.721 18422.045 1.000000 1.000045 1.010666 454785893 1059535529 1279517902 24443.200 51168.366 42594.959 84386.498 58018.472 47243.340 1.000000 1.000000 1.096578 315307648 751758532 999623184 49193.265 32909.064 28850.813 72742.892 44280.500 36839.684 1.000000 1.000447 2.241074 40651064 260287139 711744068 21388.886 18311.357 13319.594 59064.465 37813.936 25569.688 1.004736 1.006561 1.000000 1214 44501 34278 56253 10429 0 0 0 0 0 0 0 64.394832 33.469665 20.915158 13.734837 55.169715 36.792531 184.069133 67.324852 204.647230 54.925697 87.314756 48.539625 27.319922 36.635852 38.323137 28.963457 39.689602 44.765571 30.583391 41.378094 49.345471 36.549958 49.132862 60.140988 6.805041 26.735087 10.532332 27.084571 9.595384 27.105977 25.023787 7.190053 38.964500 24.685618 52.463348 25.711171 23.568967 39.406891 0 80.681060 142.944873 267 83.985305 38.693505 20.831269 10.971084 72.766086 51.681218 198.342308 59.777956 202.686941 58.034946 114.707640 62.674542
nirp_carlevariis_va_pc_2007bp1515 carlevariis neoclassicism italy 17.760 24.469 41.461 22.475 31.025 53.748 8.605 11.812 21.781 5.329 6.986 11.369 6.226 8.243 13.771 8.295 11.250 20.210 14.350 20.729 38.511 27.895 38.600 64.344 9.377 13.669 26.518 6.301 8.723 15.410 7.702 10.938 19.933 8.939 12.858 24.465 7.998 9.774 14.127 18.705 22.701 31.885 3.196 3.904 5.723 2.202 2.644 3.807 2.682 3.227 4.649 2.874 3.505 5.135 7146310 96062766 389397666 24346.515 18219.514 12303.912 146387.605 90339.002 48881.640 1.000028 1.000000 1.000000 53903564 120448152 134257837 83631.615 68074.357 55346.837 218255.324 161138.862 124055.989 1.000000 1.000000 1.000000 22847668 204914509 536626814 6909.006 4690.659 4014.846 65225.435 30287.558 21967.918 1.000000 1.000000 1.000000 237364123 699437597 984410105 29445.457 20559.925 16202.375 69604.719 39180.646 29670.520 1.000000 1.000000 1.000036 154421156 448977628 643167553 21458.862 14978.554 12705.369 72924.271 37623.772 28719.340 1.000112 1.008647 1.004793 26702922 296664658 930876708 10598.147 7135.126 4749.613 66818.878 32202.828 22426.007 1.004850 1.006323 1.016674 165748 77589 0 0 0 0 0 0 0 0 0 0 95.652624 53.734194 15.621750 19.759676 109.992868 58.554118 151.657890 57.010880 155.603334 44.162482 157.823423 79.820944 18.150402 26.310962 36.154866 18.885669 27.194242 32.221528 28.082431 38.436321 50.419256 43.789406 59.882973 75.987607 3.078371 0.014372 4.671188 25.333455 5.957341 18.029150 46.616264 20.312843 64.822417 26.845903 79.572628 26.066514 8.790533 17.146547 0 148.877558 179.581978 418 108.456856 58.319352 12.540766 15.633985 101.021345 53.131955 166.750697 50.942772 181.889932 44.936978 155.246511 78.705269
nirp_carlevariis_va_pc_2007bp1516 carlevariis neoclassicism italy 5.539 7.569 13.046 19.506 31.367 68.133 6.314 8.641 15.079 7.156 9.663 16.359 5.668 7.759 13.516 5.922 7.831 12.794 6.697 9.428 17.257 29.077 47.229 101.128 6.539 9.202 16.753 8.345 11.508 19.765 6.580 9.180 16.501 6.355 8.741 15.149 2.267 2.726 3.931 18.264 22.187 31.232 2.620 3.148 4.513 3.786 4.540 6.461 2.658 3.188 4.547 2.698 3.232 4.610 144710619 565430761 1192334068 34941.887 27011.341 21982.662 60262.535 39248.350 30238.372 1.000000 1.054767 1.000000 17221176 32703506 37875828 26091.214 19297.969 16550.536 125041.282 78859.152 60832.982 1.000000 1.000000 1.000000 115040081 325083873 488290970 37070.234 29148.156 23950.214 64465.348 45493.665 36776.580 1.000021 1.000000 1.000000 273135041 415955068 448900702 39293.049 22682.506 40550.678 213924.878 199704.378 191225.885 1.000000 1.019498 1.000000 247244773 417106393 442164791 60698.817 56702.275 47901.863 138770.072 115897.219 111053.798 1.000000 1.000695 1.000000 174486321 682134264 1298694944 50435.853 63700.522 42850.848 117279.991 97874.310 83102.701 1.000000 1.000000 1.000000 77578 169650 0 0 0 0 0 0 0 0 0 0 143.084420 83.712902 16.455720 7.425299 79.511981 46.436386 240.410346 38.353109 240.843635 34.673487 150.837337 86.562079 7.358390 10.330303 8.834057 6.878844 10.327695 10.254386 14.720265 22.340485 28.799152 28.031440 43.476965 43.876930 2.998791 6.172233 4.902496 20.353037 5.193830 17.043034 36.903680 5.125991 53.247179 15.977516 59.642780 22.093629 8.726912 24.089367 0 117.753197 178.785375 404 186.501253 68.396465 13.853489 8.908563 105.848293 39.223195 243.937377 30.309427 239.590464 30.369743 198.874377 69.310608
nirp_carlevariis_va_pc_2007bp1517 carlevariis neoclassicism italy 6.636 8.835 14.858 24.641 39.286 86.069 6.316 8.456 14.199 5.854 7.540 11.781 4.711 6.120 9.788 8.039 10.310 15.764 7.922 11.372 21.996 25.118 39.217 87.955 7.533 10.728 20.028 6.658 8.903 14.726 5.639 7.937 14.323 8.473 11.559 19.383 1.985 2.375 3.418 23.185 27.722 38.156 2.543 3.058 4.391 3.325 3.969 5.611 1.857 2.201 3.133 3.417 4.075 5.774 58051022 312698846 826718597 4309.245 2722.396 2260.513 49495.517 18633.856 11405.529 1.000033 1.002914 1.000000 5522137 12001543 15377560 32043.268 21954.533 19066.377 162466.026 97337.297 76134.305 1.000000 1.000000 1.000000 80532265 340529958 637958520 6287.477 4588.359 4005.157 44467.897 22424.332 17326.766 1.000058 1.000000 1.000000 366658578 832076675 1056531281 61589.010 49041.354 52603.195 188627.999 169922.673 157109.241 1.000191 1.000000 1.000000 263070489 634999740 715762190 29557.030 18478.970 15256.714 52390.326 29564.412 24282.074 1.000000 1.057938 1.000000 90161107 506526170 1277568193 50169.185 61637.153 60213.977 164014.712 149154.616 131219.906 1.000000 1.000000 1.000000 0 0 0 3669 71616 105189 0 0 0 0 0 0 172.970492 52.810626 21.031153 6.078740 131.808867 43.783830 242.324175 33.379199 206.334669 28.766073 218.114984 66.734245 19.462282 27.120118 29.443820 8.658747 14.461991 15.957393 22.688648 32.906780 42.606877 40.178645 55.962317 67.360810 3.569916 10.084478 5.075673 26.010240 3.402534 8.920741 46.296606 5.749806 63.069680 22.772267 78.308816 24.856555 11.998744 21.973327 0 150.724886 179.639873 2521 151.408045 65.506530 18.856709 6.613483 118.422032 50.542823 224.428265 52.880844 202.694054 39.246308 193.983769 78.797276
nirp_carlevariis_va_pc_2007bp1518 carlevariis neoclassicism italy 15.362 21.641 37.361 15.372 20.819 33.489 9.083 12.535 23.439 5.123 6.626 10.468 6.037 7.940 13.085 8.330 11.227 20.078 9.520 13.382 24.136 16.839 22.579 34.271 7.355 10.480 19.772 5.843 8.043 14.105 7.259 10.114 18.215 7.278 10.301 18.947 6.663 8.129 11.783 10.267 12.413 17.628 3.377 4.078 5.893 2.065 2.464 3.519 2.518 3.031 4.373 2.885 3.486 5.048 10267167 140069628 413038035 17476.386 11941.303 8460.810 123831.805 67242.034 38021.001 1.000012 1.000000 1.001945 97878215 334752134 533269555 66808.961 50821.053 40785.020 201670.260 140495.072 105986.369 1.000000 1.000000 1.000000 23519234 125914547 262230720 9847.612 6929.276 5962.445 69046.025 33205.464 24887.980 1.000048 1.012547 1.016570 292134860 809857307 1354813598 65484.892 47429.323 39798.119 91296.068 58243.772 46900.688 1.004095 1.289240 -8.728748 237869157 678399350 1120777859 57955.714 40984.528 34921.298 92204.081 56619.456 46025.227 1.008699 1.000000 1.000000 30232476 216624191 528314380 10976.115 8621.035 6640.305 64144.323 32897.306 24034.307 1.000117 1.000000 1.387205 0 201215 0 0 0 0 0 0 0 0 0 0 55.166195 56.729804 82.221444 66.457136 59.345624 50.486439 118.119429 84.565458 135.288842 78.344646 86.921744 75.488828 44.258726 59.159408 68.789643 38.163232 54.929759 64.627610 18.267830 29.029282 35.313631 30.573485 44.534421 52.486007 32.305019 27.412837 50.138501 27.153406 59.827434 27.186987 44.877272 18.619956 59.794569 26.767475 70.299696 27.195593 91.894495 174.473192 99 120.083742 179.988195 310 99.748743 51.932980 38.318257 47.394155 71.592410 38.484902 189.809677 79.285198 198.421550 73.532891 121.426873 56.547981
nirp_carlevariis_va_pc_2007bp1519 carlevariis neoclassicism italy 6.463 8.544 14.442 30.502 51.041 110.734 8.592 11.931 22.423 15.141 19.910 31.695 6.565 8.719 14.800 14.733 18.601 28.596 8.072 11.739 23.353 33.797 56.405 124.265 7.648 10.993 20.815 15.907 21.444 34.729 8.217 11.867 23.255 13.161 17.553 28.419 1.959 2.333 3.321 87.599 99.387 122.388 3.340 4.047 5.867 6.753 8.092 11.427 2.043 2.436 3.465 5.664 6.744 9.492 53670914 258400968 623760114 9762.875 4970.815 3788.920 50115.537 21287.057 14767.433 1.003597 1.000000 1.000000 2076160 6626024 10746341 37642.762 26738.790 22852.959 172238.075 108467.464 85667.702 1.000000 1.000000 1.000000 24642326 135388310 294447521 12759.589 7602.587 6201.678 67440.399 32914.268 25163.937 1.000054 1.000000 1.000000 61521789 137974303 168349942 61113.066 48357.772 26859.090 262796.979 250676.227 238389.507 1.000000 1.000000 1.000000 67518774 197784708 232074976 56293.834 40646.582 35598.319 84757.022 54201.779 46993.297 1.000000 1.014564 1.000000 30791168 245288690 709126129 47231.628 54695.300 64829.316 220498.738 207307.086 187261.281 1.002799 1.000000 1.066635 0 0 0 0 1044 61651 72169 0 0 0 0 0 158.398930 76.999364 12.783730 7.336748 93.264310 49.563385 248.537428 20.871733 239.526816 22.481009 172.262957 86.810467 3.490099 5.735098 3.811019 11.760339 20.099669 21.906865 18.575556 32.933642 40.492180 29.635753 52.220255 56.071680 3.648342 5.440494 6.853549 26.725234 6.113444 18.046972 31.883175 5.685650 47.680694 12.247219 65.530405 23.033638 12.185937 27.371945 0 90.144841 178.254489 1143 188.174611 59.113344 18.021498 6.970483 124.420204 42.836113 250.081284 19.399579 223.788319 30.804791 218.295970 67.198615
nirp_carlevariis_va_pc_2007bp1520 carlevariis neoclassicism italy 7.138 9.451 15.744 26.788 45.276 97.596 10.318 14.412 26.669 47.048 61.029 91.200 14.247 19.044 32.106 9.503 12.510 20.923 8.192 11.538 21.452 19.448 31.656 69.487 9.943 14.397 27.753 46.418 61.289 89.989 15.550 22.458 40.195 9.881 13.722 24.527 2.421 2.903 4.178 29.936 35.907 49.670 3.940 4.784 6.945 27.800 32.982 44.315 5.464 6.529 9.225 3.339 4.017 5.776 50675363 353335919 744470827 62997.052 45929.383 34643.086 91834.993 59452.300 44374.845 1.000600 1.000000 1.000000 1832263 8924509 16155634 33115.070 22140.886 18067.276 161785.847 94270.142 69756.649 1.000000 1.000000 1.000000 16225471 107097675 210765360 65014.811 47563.552 36155.830 112028.707 70538.870 53245.451 1.000065 1.000000 1.000000 19000229 41086587 53497634 45391.567 59200.074 44969.367 289879.435 284651.459 274217.022 1.000000 1.000218 1.000000 25765995 84190035 100462684 30405.704 63419.385 25484.401 219344.588 201758.238 192234.778 1.000017 1.003185 1.000000 35576815 313632043 700693914 49184.205 42083.283 47176.237 158765.030 129707.421 110308.361 1.000000 1.000000 1.000000 0 0 0 7829 58380 39582 21208 0 0 0 0 0 231.587923 38.293737 15.652532 7.972045 116.397513 19.359997 254.987684 0.400626 254.773150 3.302122 231.814654 38.285865 2.076778 4.313356 0.728318 6.787467 12.256163 10.982965 12.940194 16.549844 23.595146 21.223435 26.540304 19.870853 4.342253 9.204724 5.775527 26.352716 3.620746 23.134474 32.828070 6.780873 51.150667 19.387700 61.317722 26.217084 16.119443 21.139706 0 93.315660 179.632838 332 219.451324 47.035430 14.760635 6.920594 118.596203 27.279505 253.555328 12.969326 246.139439 22.634961 228.021868 45.976460
nirp_carlevariis_va_pc_2007bp2400 carlevariis neoclassicism italy 9.922 13.139 21.557 26.085 38.814 75.067 10.262 13.562 22.426 7.946 10.029 14.946 6.957 8.889 13.784 13.279 16.789 25.507 9.278 13.135 25.415 34.796 53.799 105.910 9.030 12.663 23.218 7.892 10.234 15.954 7.554 10.359 18.205 11.306 14.985 25.282 2.446 2.976 4.355 13.319 16.092 22.834 3.371 4.077 5.916 3.716 4.457 6.381 2.118 2.550 3.691 3.977 4.774 6.874 15142247 118801841 318953845 6231.888 3767.001 3238.961 80460.099 34800.877 23650.827 1.000517 1.767672 1.625344 7101803 23507003 26592242 43901.561 28645.204 24925.259 193746.404 120885.976 97661.555 1.000000 1.000000 1.000000 17383121 133197055 250842193 8625.632 5441.033 4998.459 81001.690 34281.743 28723.914 1.000000 1.000000 1.000000 159752632 642009554 841196583 43128.588 58580.450 14156.839 208348.334 185582.487 175824.015 1.000000 1.000000 1.000000 107585268 430461561 519733231 45611.520 33217.058 30285.597 85335.990 48592.033 42784.701 1.000000 1.000000 1.000000 18356592 171851449 457519345 53648.516 25296.245 50960.744 178392.943 157599.030 148063.225 1.000000 1.003139 1.049117 4517 242521 0 0 0 0 0 0 0 0 0 0 96.242416 88.712278 17.013819 7.157011 64.363129 61.381600 236.467326 41.461263 230.036751 31.716579 112.329946 105.104044 18.308973 25.787023 29.498866 17.167353 26.459622 30.296235 35.566574 49.072128 57.111841 54.228987 76.552232 89.604763 4.022026 26.763766 4.780314 27.447444 4.184213 16.825295 52.931981 13.977718 82.690114 25.398839 99.176110 25.515120 13.295683 21.219948 0 157.881115 179.976011 3078 139.259766 76.040383 19.492399 7.872428 113.424044 60.813093 229.001442 50.392148 201.663696 43.494626 182.908024 94.105104
nirp_carlevariis_va_pc_2007bp2401 carlevariis neoclassicism italy 9.731 12.952 21.582 25.048 36.763 68.750 10.173 13.690 23.998 8.170 10.351 15.461 6.241 7.984 12.454 14.835 18.984 30.175 7.649 10.630 19.492 33.054 48.975 86.392 7.847 11.008 20.513 8.353 10.876 16.957 7.088 9.776 17.566 11.909 15.863 26.845 2.516 3.041 4.414 20.820 25.086 34.730 3.075 3.727 5.411 3.975 4.759 6.798 1.968 2.355 3.383 4.320 5.186 7.449 14638937 114238038 320055414 8009.419 5508.310 4411.932 83958.158 41935.861 28745.085 1.000382 1.000000 1.000000 21638680 54756090 75405845 45313.249 29903.385 25157.367 196864.959 125206.062 95950.683 1.000000 1.000000 1.000000 12298069 95415182 190494668 8952.614 5780.146 5343.976 79598.120 34761.469 28960.709 1.000000 1.005018 1.003275 173017391 637359276 877226449 61386.455 53569.069 63791.156 205182.137 185134.410 175227.569 1.000000 1.000000 1.123005 130275300 469747799 587794097 24909.422 15940.101 13923.210 66055.046 32354.721 27364.363 1.000000 1.000000 1.027899 12119648 130741494 388998161 59031.489 37813.525 55870.052 192436.374 173697.239 163748.848 1.000001 1.000002 1.002740 0 250614 0 0 0 0 0 0 0 0 0 0 68.824646 77.814899 15.527744 12.581641 53.677967 51.679791 184.057020 74.094466 195.954030 53.033722 87.994565 89.574664 24.791087 44.927912 48.399170 15.777329 26.002391 29.256333 32.474047 53.513088 58.329579 49.295063 86.389669 93.697748 3.040028 13.841926 4.632404 27.464342 3.654300 7.165048 49.687543 15.053415 95.657456 27.086800 105.066554 27.075426 8.449346 21.813180 0 168.544619 179.815265 2637 136.348617 78.474414 18.976366 12.622363 115.366671 59.859930 216.672265 66.207098 189.195492 45.155751 183.393442 95.648836
nirp_cuyp_1_40 cuyp baroque netherlands 10.945 15.148 27.129 28.139 44.094 95.200 11.095 15.637 28.700 9.890 13.217 22.107 12.098 16.453 29.034 9.040 12.451 22.066 9.077 12.828 24.131 11.391 16.876 33.561 11.143 16.315 32.403 11.134 15.476 27.440 14.541 21.201 39.862 9.836 14.237 27.392 3.550 4.330 6.337 22.855 27.549 38.336 3.665 4.461 6.512 3.826 4.619 6.657 3.963 4.787 6.922 2.897 3.527 5.147 12116727 114927635 311995103 6908.152 3979.151 2944.049 95270.662 39520.352 20032.913 1.003101 1.000000 1.097493 1965485 7292222 11118650 40039.231 27917.692 23894.522 180529.869 116558.518 88568.227 1.000117 1.006858 1.000000 13669529 98013665 264170757 8767.031 5469.283 4065.437 93094.912 43755.286 26688.829 1.001696 1.000000 1.000000 66033661 193079453 363357466 24204.066 33638.149 29240.346 192196.651 171723.442 153927.762 1.000000 1.000000 1.000000 38815967 114315564 223840123 61529.136 31760.099 43071.550 182809.327 160319.598 144665.101 1.004032 2.844353 1.000000 22173437 189271176 519685949 16854.856 14007.439 10023.212 79335.490 41195.007 26130.704 1.000000 1.000000 -0.497319 0 0 31548 128113 22868 0 0 0 0 0 0 0 99.051827 45.882951 29.107319 4.763360 67.235458 46.767144 233.012288 34.962290 232.202680 38.191058 116.629402 64.630293 40.135205 48.751983 54.332565 44.846768 47.862266 51.070136 43.555220 48.965207 56.360052 54.499283 62.574261 73.555301 9.171568 23.942233 10.457743 24.359547 7.989440 13.022976 35.260733 18.817779 43.866018 23.784081 58.533854 26.564844 34.298155 61.299000 0 112.659979 158.519062 1224 79.306049 44.909076 27.648863 9.298095 70.571475 58.421777 216.316871 58.983509 214.295217 54.505126 110.085905 77.037063
